name,path,cssCustomProperty,defaultValue,description,exampleValue,usage,cssProperties,source
motion.avatar.enter,motion; avatar; enter,--ds-avatar-enter,"150ms cubic-bezier(0.4, 1, 0.6, 1) ScaleIn80to100, 150ms cubic-bezier(0.4, 1, 0.6, 1) FadeIn0to100",Use for avatar group enter transitions.,"150ms cubic-bezier(0.4, 1, 0.6, 1) ScaleIn80to100, 150ms cubic-bezier(0.4, 1, 0.6, 1) FadeIn0to100",,,token-metadata.codegen.js
motion.avatar.exit,motion; avatar; exit,--ds-avatar-exit,"100ms cubic-bezier(0.6, 0, 0.8, 0.6) ScaleOut100to80, 100ms cubic-bezier(0.6, 0, 0.8, 0.6) FadeOut100to0",Use for avatar group exit transitions.,"100ms cubic-bezier(0.6, 0, 0.8, 0.6) ScaleOut100to80, 100ms cubic-bezier(0.6, 0, 0.8, 0.6) FadeOut100to0",,,token-metadata.codegen.js
motion.avatar.hovered,motion; avatar; hovered,--ds-avatar-hovered,"transform 250ms linear(0, 0.021, 0.058, 0.107, 0.164, 0.227, 0.292, 0.359, 0.425, 0.49, 0.552, 0.61, 0.664, 0.714, 0.759, 0.8, 0.837, 0.869, 0.898, 0.922, 0.943, 0.961, 0.976, 0.988, 0.998, 1.006, 1.013, 1.017, 1.02, 1.023, 1.024, 1.024, 1.024, 1.024, 1.023, 1.022, 1.02, 1.019, 1.017, 1.015, 1.014, 1.012, 1.011, 1.009, 1.008, 1.007, 1.006, 1.005, 1.004, 1.003, 1.002, 1.002, 1.001, 1.001, 1.001, 1, 1, 1, 1, 1, 0.999, 0.999, 0.999, 0.999, 1)",Use for hover state on avatar elements.,"transform 250ms linear(0, 0.021, 0.058, 0.107, 0.164, 0.227, 0.292, 0.359, 0.425, 0.49, 0.552, 0.61, 0.664, 0.714, 0.759, 0.8, 0.837, 0.869, 0.898, 0.922, 0.943, 0.961, 0.976, 0.988, 0.998, 1.006, 1.013, 1.017, 1.02, 1.023, 1.024, 1.024, 1.024, 1.024, 1.023, 1.022, 1.02, 1.019, 1.017, 1.015, 1.014, 1.012, 1.011, 1.009, 1.008, 1.007, 1.006, 1.005, 1.004, 1.003, 1.002, 1.002, 1.001, 1.001, 1.001, 1, 1, 1, 1, 1, 0.999, 0.999, 0.999, 0.999, 1)",,,token-metadata.codegen.js
motion.blanket.enter,motion; blanket; enter,--ds-blanket-enter,"250ms cubic-bezier(0.4, 0, 0, 1) FadeIn0to100",Use for blanket enter transitions.,"250ms cubic-bezier(0.4, 0, 0, 1) FadeIn0to100",,,token-metadata.codegen.js
motion.blanket.exit,motion; blanket; exit,--ds-blanket-exit,"200ms cubic-bezier(0.6, 0, 0.8, 0.6) FadeOut100to0",Use for blanket exit transitions.,"200ms cubic-bezier(0.6, 0, 0.8, 0.6) FadeOut100to0",,,token-metadata.codegen.js
motion.button.hovered,motion; button; hovered,--ds-button-hovered,"background-color 150ms cubic-bezier(0.4, 1, 0.6, 1)",Use for button hover state transitions.,"background-color 150ms cubic-bezier(0.4, 1, 0.6, 1)",,,token-metadata.codegen.js
motion.button.pressed,motion; button; pressed,--ds-button-pressed,"background-color 150ms cubic-bezier(0.4, 1, 0.6, 1)",Use for button pressed state transitions.,"background-color 150ms cubic-bezier(0.4, 1, 0.6, 1)",,,token-metadata.codegen.js
motion.duration.instant,motion; duration; instant,--ds-duration-instant,0ms,"Use for instant feedback with no perceptible delay, such as list item hover, selected and focus states.",0ms,,,token-metadata.codegen.js
motion.duration.long,motion; duration; long,--ds-duration-long,250ms,"Use for medium entrance transitions, such as modal enter and flag enter.",250ms,,,token-metadata.codegen.js
motion.duration.medium,motion; duration; medium,--ds-duration-medium,200ms,"Use for medium exit transitions, such as modal exit and flag exit.",200ms,,,token-metadata.codegen.js
motion.duration.short,motion; duration; short,--ds-duration-short,150ms,"Use for interactive state emphasis and small entrances, such as button hover and pressed states, popup enter, and avatar appear.",150ms,,,token-metadata.codegen.js
motion.duration.xlong,motion; duration; xlong,--ds-duration-xlong,400ms,"Use for large transitions, such as panel enter/exit, page transitions, and full-screen overlays.",400ms,,,token-metadata.codegen.js
motion.duration.xshort,motion; duration; xshort,--ds-duration-xshort,100ms,"Use for subtle pressed states and quick exits, such as component press feedback, popup dismiss, and avatar transitions.",100ms,,,token-metadata.codegen.js
motion.duration.xxlong,motion; duration; xxlong,--ds-duration-xxlong,600ms,"Use for large transitions, such as onboarding steps and full-screen overlays.",600ms,,,token-metadata.codegen.js
motion.duration.xxshort,motion; duration; xxshort,--ds-duration-xxshort,50ms,"Use for instant feedback, such as list item hover, selected and focus states.",50ms,,,token-metadata.codegen.js
motion.easing.in.practical,motion; easing; in; practical,--ds-easing-in-practical,"cubic-bezier(0.6, 0, 0.8, 0.6)",Starts slowly and accelerates away. Best for exit transitions where elements leaving the screen should feel like they are getting out of the way.,"cubic-bezier(0.6, 0, 0.8, 0.6)",,,token-metadata.codegen.js
motion.easing.inout.bold,motion; easing; inout; bold,--ds-easing-inout-bold,"cubic-bezier(0.4, 0, 0, 1)",The bold in-out curve pairs naturally with scale and repositioning of elements. It controls both the start and end of the motion.,"cubic-bezier(0.4, 0, 0, 1)",,,token-metadata.codegen.js
motion.easing.out.practical,motion; easing; out; practical,--ds-easing-out-practical,"cubic-bezier(0.4, 1, 0.6, 1)","A practical, everyday enter curve. Less dramatic than the bold variant, good for subtle transitions like content swaps, tab changes, and list reordering.","cubic-bezier(0.4, 1, 0.6, 1)",,,token-metadata.codegen.js
motion.easing.out.bold,motion; easing; out; bold,--ds-easing-out-bold,"cubic-bezier(0, 0.4, 0, 1)",Elements arrive quickly and decelerate to a stop. The fast start grabs attention and the gentle landing feels controlled.,"cubic-bezier(0, 0.4, 0, 1)",,,token-metadata.codegen.js
motion.easing.spring,motion; easing; spring,--ds-easing-spring,"linear(0, 0.021, 0.058, 0.107, 0.164, 0.227, 0.292, 0.359, 0.425, 0.49, 0.552, 0.61, 0.664, 0.714, 0.759, 0.8, 0.837, 0.869, 0.898, 0.922, 0.943, 0.961, 0.976, 0.988, 0.998, 1.006, 1.013, 1.017, 1.02, 1.023, 1.024, 1.024, 1.024, 1.024, 1.023, 1.022, 1.02, 1.019, 1.017, 1.015, 1.014, 1.012, 1.011, 1.009, 1.008, 1.007, 1.006, 1.005, 1.004, 1.003, 1.002, 1.002, 1.001, 1.001, 1.001, 1, 1, 1, 1, 1, 0.999, 0.999, 0.999, 0.999, 1)",,"linear(0, 0.021, 0.058, 0.107, 0.164, 0.227, 0.292, 0.359, 0.425, 0.49, 0.552, 0.61, 0.664, 0.714, 0.759, 0.8, 0.837, 0.869, 0.898, 0.922, 0.943, 0.961, 0.976, 0.988, 0.998, 1.006, 1.013, 1.017, 1.02, 1.023, 1.024, 1.024, 1.024, 1.024, 1.023, 1.022, 1.02, 1.019, 1.017, 1.015, 1.014, 1.012, 1.011, 1.009, 1.008, 1.007, 1.006, 1.005, 1.004, 1.003, 1.002, 1.002, 1.001, 1.001, 1.001, 1, 1, 1, 1, 1, 0.999, 0.999, 0.999, 0.999, 1)",,,token-names.js
motion.flag.enter,motion; flag; enter,--ds-flag-enter,"250ms cubic-bezier(0, 0.4, 0, 1) SlideIn50PercentLeft, 250ms cubic-bezier(0, 0.4, 0, 1) FadeIn0to100",Use for flag enter transitions.,"250ms cubic-bezier(0, 0.4, 0, 1) SlideIn50PercentLeft, 250ms cubic-bezier(0, 0.4, 0, 1) FadeIn0to100",,,token-metadata.codegen.js
motion.flag.exit,motion; flag; exit,--ds-flag-exit,"200ms cubic-bezier(0.6, 0, 0.8, 0.6) SlideOut15PercentLeft, 200ms cubic-bezier(0.6, 0, 0.8, 0.6) FadeOut100to0",Use for flag exit transitions.,"200ms cubic-bezier(0.6, 0, 0.8, 0.6) SlideOut15PercentLeft, 200ms cubic-bezier(0.6, 0, 0.8, 0.6) FadeOut100to0",,,token-metadata.codegen.js
motion.flag.reposition,motion; flag; reposition,--ds-flag-reposition,"transform 250ms cubic-bezier(0.4, 0, 0, 1)",Use for repositioning flag elements.,"transform 250ms cubic-bezier(0.4, 0, 0, 1)",,,token-metadata.codegen.js
motion.keyframe.fade.in,motion; keyframe; fade; in,--ds-keyframe-fade-in,FadeIn0to100,Use for fade-in transitions where an element goes from fully transparent to fully opaque.,FadeIn0to100,,,token-metadata.codegen.js
motion.keyframe.fade.out,motion; keyframe; fade; out,--ds-keyframe-fade-out,FadeOut100to0,Use for fade-out transitions where an element goes from fully opaque to fully transparent.,FadeOut100to0,,,token-metadata.codegen.js
motion.keyframe.scale.in.medium,motion; keyframe; scale; in; medium,--ds-keyframe-scale-in-medium,ScaleIn80to100,Use for medium scale-in transitions where an element grows from 80% to full size on enter.,ScaleIn80to100,,,token-metadata.codegen.js
motion.keyframe.scale.in.small,motion; keyframe; scale; in; small,--ds-keyframe-scale-in-small,ScaleIn95to100,Use for small scale-in transitions where an element grows from 95% to full size on enter.,ScaleIn95to100,,,token-metadata.codegen.js
motion.keyframe.scale.out.medium,motion; keyframe; scale; out; medium,--ds-keyframe-scale-out-medium,ScaleOut100to80,Use for medium scale-out transitions where an element shrinks from full size to 80% on exit.,ScaleOut100to80,,,token-metadata.codegen.js
motion.keyframe.scale.out.small,motion; keyframe; scale; out; small,--ds-keyframe-scale-out-small,ScaleOut100to95,Use for small scale-out transitions where an element shrinks from full size to 95% on exit.,ScaleOut100to95,,,token-metadata.codegen.js
motion.keyframe.slide.in.bottom.short,motion; keyframe; slide; in; bottom; short,--ds-keyframe-slide-in-bottom-short,SlideInBottom8px,Use for short slide-in transitions where an element enters from below its final position by 8px.,SlideInBottom8px,,,token-metadata.codegen.js
motion.keyframe.slide.in.left.half,motion; keyframe; slide; in; left; half,--ds-keyframe-slide-in-left-half,SlideIn50PercentLeft,Use for slide-in transitions where an element enters from the left of its final position by 50%.,SlideIn50PercentLeft,,,token-metadata.codegen.js
motion.keyframe.slide.in.left.short,motion; keyframe; slide; in; left; short,--ds-keyframe-slide-in-left-short,SlideInLeft8px,Use for short slide-in transitions where an element enters from the left of its final position by 8px.,SlideInLeft8px,,,token-metadata.codegen.js
motion.keyframe.slide.in.right.short,motion; keyframe; slide; in; right; short,--ds-keyframe-slide-in-right-short,SlideInRight8px,Use for short slide-in transitions where an element enters from the right of its final position by 8px.,SlideInRight8px,,,token-metadata.codegen.js
motion.keyframe.slide.in.top.short,motion; keyframe; slide; in; top; short,--ds-keyframe-slide-in-top-short,SlideInTop8px,Use for short slide-in transitions where an element enters from above its final position by 8px.,SlideInTop8px,,,token-metadata.codegen.js
